,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,asyncio_time
0,0.9873046875,0.556884765625,0.714599609375,-1.0534351145038168,-3.5572519083969465,44.29007633587786,-286.72,-53.76,-645.12,15986.035322378
1,1.1640625,0.236572265625,0.5869140625,11.31297709923664,10.717557251908396,7.343511450381679,-302.08,-53.76,-624.64,15986.124712481
2,0.611083984375,0.422607421875,0.361328125,2.5038167938931295,40.916030534351144,-38.38167938931298,-299.52,-66.56,-614.4,15986.215643835
3,0.795166015625,0.283203125,0.3525390625,-0.33587786259541985,-13.236641221374045,6.33587786259542,-279.04,-79.36,-622.08,15986.303823184
4,0.980224609375,0.36962890625,0.456298828125,-14.106870229007633,-34.54961832061068,7.0534351145038165,-271.36,-84.48,-616.96,15986.395124166
5,0.980224609375,0.36962890625,0.456298828125,-14.106870229007633,-34.54961832061068,7.0534351145038165,-271.36,-84.48,-616.96,15986.484782428
6,0.93505859375,0.474853515625,0.570068359375,-30.595419847328245,53.70992366412214,-29.419847328244273,-273.92,-81.92,-609.28,15986.573876103
7,0.920166015625,0.313720703125,0.28125,-13.526717557251908,0.8244274809160305,-7.083969465648854,-256.0,-125.44,-599.04,15986.665409087
8,1.02587890625,0.174072265625,0.222900390625,-23.236641221374043,-11.053435114503817,-11.358778625954198,-253.44,-135.68,-593.92,15986.754630316
9,1.189697265625,0.41552734375,0.340576171875,-33.38931297709924,-74.97709923664122,15.618320610687022,-248.32,-148.48,-588.8000000000001,15986.845635026
10,1.02587890625,0.36865234375,0.247802734375,-33.862595419847324,-21.63358778625954,-81.54198473282442,-250.88,-138.24,-588.8000000000001,15986.935005279
11,0.842529296875,0.47900390625,0.1806640625,-65.26717557251908,-58.33587786259542,-89.77099236641222,-227.84,-138.24,-609.28,15987.024530076
12,0.576416015625,0.44140625,0.10009765625,-99.32824427480915,-100.3969465648855,-32.900763358778626,-227.84,-138.24,-609.28,15987.115354804
13,0.576416015625,0.44140625,0.10009765625,-99.32824427480915,-100.3969465648855,-32.900763358778626,-204.8,-140.8,-627.2,15987.205270679
14,0.47021484375,0.567626953125,0.513916015625,-64.9618320610687,-46.44274809160305,-50.62595419847328,-215.04,-153.6,-614.4,15987.295725545
15,0.751953125,0.635986328125,0.622802734375,-7.755725190839694,28.610687022900763,-14.473282442748092,-204.8,-171.52,-611.84,15987.38517502
16,0.619384765625,0.691162109375,0.7265625,30.519083969465647,75.6793893129771,12.473282442748092,-197.12,-179.20000000000002,-609.28,15987.475586705
17,0.60888671875,0.736083984375,0.51708984375,33.358778625954194,65.78625954198473,31.12977099236641,-194.56,-176.64000000000001,-601.6,15987.564925705
18,0.703369140625,0.601806640625,0.375,22.3206106870229,-2.2900763358778624,62.595419847328245,-192.0,-176.64000000000001,-599.04,15987.655709527
19,0.6064453125,0.618408203125,0.1845703125,6.061068702290076,28.641221374045802,11.511450381679388,-220.16,-166.4,-573.44,15987.745046669
20,0.6064453125,0.618408203125,0.1845703125,6.061068702290076,28.641221374045802,11.511450381679388,-220.16,-166.4,-573.44,15987.835301322
21,0.64599609375,0.736572265625,0.296630859375,-7.435114503816793,13.618320610687022,11.038167938931297,-217.6,-174.08,-563.2,15987.925044325
22,0.7626953125,0.6669921875,0.4287109375,-11.435114503816793,65.43511450381679,-26.47328244274809,-217.6,-192.0,-537.6,15988.014468934
23,0.933349609375,0.62841796875,0.5517578125,-22.015267175572518,26.30534351145038,-11.84732824427481,-197.12,-212.48000000000002,-529.92,15988.104571257
24,0.93505859375,0.5947265625,0.313232421875,-30.442748091603054,-32.12213740458015,-21.603053435114504,-207.36,-227.84,-494.08,15988.194611605
25,0.83056640625,0.588134765625,0.19287109375,-51.587786259541986,-86.03053435114504,-16.412213740458014,-250.88,-209.92000000000002,-465.92,15988.285428491
26,0.9208984375,0.61328125,0.15576171875,-55.48091603053435,-47.83206106870229,-0.5038167938931297,-281.6,-194.56,-453.12,15988.374101892
27,0.677490234375,0.489501953125,0.378173828125,-34.74809160305343,17.053435114503817,5.83206106870229,-320.0,-189.44,-424.96000000000004,15988.465414105
28,0.677490234375,0.489501953125,0.378173828125,-34.74809160305343,17.053435114503817,5.83206106870229,-320.0,-189.44,-424.96000000000004,15988.554497442
29,0.743896484375,0.365966796875,0.366455078125,-32.97709923664122,-26.9618320610687,2.931297709923664,-330.24,-199.68,-412.16,15988.64558447
30,0.76611328125,0.548095703125,0.417724609375,-34.732824427480914,-5.679389312977099,-43.63358778625954,-363.52,-192.0,-407.04,15988.735626712
31,0.804931640625,0.77587890625,0.479736328125,-11.404580152671755,34.94656488549618,-35.23664122137404,-381.44,-189.44,-412.16,15988.825298311
32,0.755126953125,0.599853515625,0.346435546875,-10.580152671755725,-7.343511450381679,-12.396946564885496,-419.84000000000003,-174.08,-417.28000000000003,15988.959032739
33,0.9072265625,0.302734375,0.21630859375,14.15267175572519,-20.198473282442748,-32.29007633587786,-442.88,-151.04,-427.52,15989.050224528
34,1.03515625,0.41064453125,0.30517578125,-11.435114503816793,-33.11450381679389,-2.5343511450381677,-473.6,-81.92,-483.84000000000003,15989.140209443
35,0.908935546875,0.563720703125,0.327392578125,-33.14503816793893,-3.8167938931297707,12.625954198473282,-488.96000000000004,-51.2,-499.2,15989.230270938
36,0.796142578125,0.52001953125,0.37060546875,-49.52671755725191,-18.045801526717558,0.7022900763358778,-506.88,-51.2,-514.5600000000001,15989.318814787
