
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.902766;0.0134;0.7097;0.9509;0.5039;-0.0397;-0.3716;12.9563;-6.8813;-44.7750;
0.937951;0.0134;0.7097;0.9509;0.5039;-0.0397;-0.3716;14.9813;-7.4625;-42.6938;
0.952786;0.0134;0.7097;0.9509;0.5039;-0.0397;-0.3716;14.9813;-7.4625;-42.6938;
0.954351;0.0134;0.7097;0.9509;0.6678;0.5155;-0.4842;14.9813;-7.4625;-42.6938;
0.955517;0.0134;0.7097;0.9509;0.6678;0.5155;-0.4842;14.9813;-7.4625;-42.6938;
0.956428;-0.0443;0.6929;1.1404;0.6678;0.5155;-0.4842;14.9813;-7.4625;-42.6938;
0.980287;-0.0443;0.6929;1.1404;0.6678;0.5155;-0.4842;14.9813;-7.4625;-42.6938;
0.988027;-0.0443;0.6929;1.1404;0.6678;0.5155;-0.4842;16.8188;-10.4250;-43.1625;
1.022171;-0.1549;0.6497;1.0733;0.6678;0.5155;-0.4842;16.8188;-10.4250;-43.1625;
1.024226;-0.1549;0.6497;1.0733;1.1154;0.4223;-0.3858;16.8188;-10.4250;-43.1625;
1.037297;-0.1549;0.6497;1.0733;1.1154;0.4223;-0.3858;17.2500;-13.9688;-42.5438;
1.062224;-0.1549;0.6497;1.0733;1.1154;0.4223;-0.3858;17.2500;-13.9688;-42.5438;
1.063933;-0.1549;0.6497;1.0733;1.1154;0.4223;-0.3858;17.2500;-13.9688;-42.5438;
1.103458;-0.1549;0.6497;1.0733;1.1154;0.4223;-0.3858;17.2500;-13.9688;-42.5438;
1.104990;-0.1549;0.6497;1.0733;0.2193;0.1661;-0.0790;17.2500;-13.9688;-42.5438;
1.106581;-0.0906;0.5437;1.1761;0.2193;0.1661;-0.0790;17.2500;-13.9688;-42.5438;
1.138561;-0.0906;0.5437;1.1761;0.2193;0.1661;-0.0790;17.9625;-14.9438;-41.6625;
1.141195;-0.0906;0.5437;1.1761;0.4647;0.2423;-0.1280;17.9625;-14.9438;-41.6625;
1.142297;-0.0027;0.4151;0.9921;0.4647;0.2423;-0.1280;17.9625;-14.9438;-41.6625;
