
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.861955;0.0968;0.5492;0.8041;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.933974;0.0968;0.5492;0.8041;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.934901;0.1112;0.5354;0.6898;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.936263;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.3813;-21.6000;-33.1125;
0.937980;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.3813;-21.6000;-33.1125;
0.939054;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;9.7313;-23.0250;-30.5250;
0.975876;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;9.7313;-23.0250;-30.5250;
0.992563;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.6625;-24.0000;-32.6063;
1.016600;0.0458;0.5432;0.5995;0.5469;-0.3478;-0.2402;11.6625;-24.0000;-32.6063;
1.017179;0.0458;0.5432;0.5995;0.3326;0.0143;-0.2314;11.6625;-24.0000;-32.6063;
1.040260;0.0458;0.5432;0.5995;0.3326;0.0143;-0.2314;13.1813;-25.5188;-31.2188;
1.058545;0.0458;0.5432;0.5995;0.3326;0.0143;-0.2314;13.1813;-25.5188;-31.2188;
1.060175;0.0458;0.5432;0.5995;0.1314;0.0254;-0.1646;13.1813;-25.5188;-31.2188;
1.062119;0.0458;0.5432;0.5995;0.1314;0.0254;-0.1646;13.1813;-25.5188;-31.2188;
1.063932;0.0441;0.6103;0.6762;0.1314;0.0254;-0.1646;13.1813;-25.5188;-31.2188;
1.096312;0.0441;0.6103;0.6762;0.1314;0.0254;-0.1646;13.1813;-25.5188;-31.2188;
1.135882;0.0441;0.6103;0.6762;0.1090;-0.3043;-0.1287;13.1813;-25.5188;-31.2188;
1.137431;0.1247;0.8208;0.5567;0.1090;-0.3043;-0.1287;13.1813;-25.5188;-31.2188;
1.139472;0.1247;0.8208;0.5567;0.1090;-0.3043;-0.1287;10.5375;-28.0500;-29.4375;
1.178497;0.1247;0.8208;0.5567;0.1090;-0.3043;-0.1287;10.5375;-28.0500;-29.4375;
1.179647;0.1247;0.8208;0.5567;0.1090;-0.3043;-0.1287;10.5375;-28.0500;-29.4375;
1.191554;0.1247;0.8208;0.5567;0.1090;-0.3043;-0.1287;11.0625;-26.0250;-31.0313;
1.219015;0.0972;0.9266;0.8533;0.1090;-0.3043;-0.1287;11.0625;-26.0250;-31.0313;
1.220582;0.0972;0.9266;0.8533;0.1090;-0.3043;-0.1287;11.0625;-26.0250;-31.0313;
1.221382;0.0972;0.9266;0.8533;-0.1079;-0.2917;-0.3461;11.0625;-26.0250;-31.0313;
1.241998;0.0972;0.9266;0.8533;-0.1079;-0.2917;-0.3461;10.9500;-28.6875;-30.7500;
1.260225;-0.0327;0.8724;0.9635;-0.1079;-0.2917;-0.3461;10.9500;-28.6875;-30.7500;
1.262883;-0.0327;0.8724;0.9635;0.1987;0.1021;-0.2828;10.9500;-28.6875;-30.7500;
1.298678;-0.0327;0.8724;0.9635;0.1987;0.1021;-0.2828;10.9500;-28.6875;-30.7500;
1.300207;-0.0327;0.8724;0.9635;0.1987;0.1021;-0.2828;10.9500;-28.6875;-30.7500;
1.336752;-0.0327;0.8724;0.9635;0.1987;0.1021;-0.2828;10.9500;-28.6875;-30.7500;
1.339523;-0.0327;0.8724;0.9635;-0.2780;0.3973;0.1495;10.9500;-28.6875;-30.7500;
1.341798;-0.0638;0.6430;1.5506;-0.2780;0.3973;0.1495;10.9500;-28.6875;-30.7500;
1.344035;-0.0638;0.6430;1.5506;-0.2780;0.3973;0.1495;9.9375;-30.7688;-31.6500;
1.392116;-0.0638;0.6430;1.5506;-0.2780;0.3973;0.1495;9.1500;-30.9938;-32.2688;
1.418824;-0.0638;0.6430;1.5506;-0.2780;0.3973;0.1495;9.1500;-30.9938;-32.2688;
1.420429;-0.0638;0.6430;1.5506;-0.3776;0.8984;0.2997;9.1500;-30.9938;-32.2688;
1.422941;-0.2147;0.2995;1.6166;-0.3776;0.8984;0.2997;9.1500;-30.9938;-32.2688;
1.424812;-0.2147;0.2995;1.6166;-0.3776;0.8984;0.2997;9.1500;-30.9938;-32.2688;
1.441080;-0.2147;0.2995;1.6166;-0.3776;0.8984;0.2997;8.5312;-32.2688;-30.6000;
1.459778;-0.2147;0.2995;1.6166;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.461924;-0.1730;0.3264;0.7713;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.463984;-0.1730;0.3264;0.7713;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.541683;-0.1730;0.3264;0.7713;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.543907;-0.1730;0.3264;0.7713;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.545152;-0.0569;0.3583;0.6660;0.4770;0.0630;-0.1826;8.5312;-32.2688;-30.6000;
1.547010;-0.0569;0.3583;0.6660;-0.2843;-0.0376;0.3248;8.5312;-32.2688;-30.6000;
1.548598;-0.0569;0.3583;0.6660;-0.2843;-0.0376;0.3248;9.3938;-32.4563;-32.3063;
1.579254;-0.0569;0.3583;0.6660;-0.2843;-0.0376;0.3248;9.3938;-32.4563;-32.3063;
1.590531;-0.0569;0.3583;0.6660;-0.2843;-0.0376;0.3248;4.2188;-35.0813;-34.2188;
1.618651;-0.0960;0.3369;0.4999;-0.2843;-0.0376;0.3248;4.2188;-35.0813;-34.2188;
1.620881;-0.0960;0.3369;0.4999;0.8734;-0.1852;0.1373;4.2188;-35.0813;-34.2188;
1.639341;-0.0960;0.3369;0.4999;0.8734;-0.1852;0.1373;3.5250;-36.8438;-30.3188;
1.656523;-0.0960;0.3369;0.4999;0.8734;-0.1852;0.1373;3.5250;-36.8438;-30.3188;
1.657574;-0.0960;0.3369;0.4999;1.0985;-0.0589;0.3499;3.5250;-36.8438;-30.3188;
1.658694;-0.0960;0.3369;0.4999;1.0985;-0.0589;0.3499;3.5250;-36.8438;-30.3188;
1.659366;0.0139;0.4179;0.4034;1.0985;-0.0589;0.3499;3.5250;-36.8438;-30.3188;
1.700986;0.0139;0.4179;0.4034;1.0985;-0.0589;0.3499;3.5250;-36.8438;-30.3188;
1.737381;0.0139;0.4179;0.4034;0.5882;-0.1026;0.0278;3.5250;-36.8438;-30.3188;
1.739031;-0.0223;0.6892;0.5648;0.5882;-0.1026;0.0278;3.5250;-36.8438;-30.3188;
1.740238;-0.0223;0.6892;0.5648;0.5882;-0.1026;0.0278;2.4563;-37.5000;-29.0063;
1.780298;-0.0223;0.6892;0.5648;0.5882;-0.1026;0.0278;2.4563;-37.5000;-29.0063;
1.782210;-0.0223;0.6892;0.5648;0.5882;-0.1026;0.0278;2.4563;-37.5000;-29.0063;
1.792262;-0.0223;0.6892;0.5648;0.5882;-0.1026;0.0278;1.2750;-38.4750;-28.5750;
1.822978;-0.0223;0.6892;0.5648;0.2974;-0.8985;0.1187;1.2750;-38.4750;-28.5750;
1.825103;0.0893;0.7627;0.6639;0.2974;-0.8985;0.1187;1.2750;-38.4750;-28.5750;
1.826491;0.0893;0.7627;0.6639;0.2974;-0.8985;0.1187;1.2750;-38.4750;-28.5750;
1.841681;0.0893;0.7627;0.6639;0.2974;-0.8985;0.1187;-2.1750;-39.1875;-28.2000;
1.859138;0.0893;0.7627;0.6639;0.2128;-0.5882;0.0505;-2.1750;-39.1875;-28.2000;
1.861889;0.1081;0.8846;0.6440;0.2128;-0.5882;0.0505;-2.1750;-39.1875;-28.2000;
1.900407;0.1081;0.8846;0.6440;0.2128;-0.5882;0.0505;-2.1750;-39.1875;-28.2000;
1.902213;0.1081;0.8846;0.6440;0.2128;-0.5882;0.0505;-2.1750;-39.1875;-28.2000;
1.940360;0.3214;0.9915;1.0857;0.2128;-0.5882;0.0505;-2.1750;-39.1875;-28.2000;
1.942812;0.3214;0.9915;1.0857;-0.0271;0.0260;-0.2346;-2.1750;-39.1875;-28.2000;
1.944436;0.3214;0.9915;1.0857;-0.0271;0.0260;-0.2346;-4.8188;-41.6438;-28.8188;
1.945838;0.3214;0.9915;1.0857;-0.0271;0.0260;-0.2346;-4.8188;-41.6438;-28.8188;
1.988705;0.3214;0.9915;1.0857;-0.0271;0.0260;-0.2346;-1.8563;-41.3438;-29.4938;
2.019797;0.3214;0.9915;1.0857;-0.9404;0.7933;-0.8784;-1.8563;-41.3438;-29.4938;
2.020644;-0.0797;0.7819;1.4229;-0.9404;0.7933;-0.8784;-1.8563;-41.3438;-29.4938;
2.021256;-0.0797;0.7819;1.4229;-0.9404;0.7933;-0.8784;-1.8563;-41.3438;-29.4938;
2.021622;-0.0797;0.7819;1.4229;-0.9404;0.7933;-0.8784;-1.8563;-41.3438;-29.4938;
2.037777;-0.0797;0.7819;1.4229;-0.9404;0.7933;-0.8784;0.3938;-40.5188;-30.0000;
2.059238;-0.0797;0.7819;1.4229;-0.9404;0.7933;-0.8784;0.3938;-40.5188;-30.0000;
2.060269;-0.0797;0.7819;1.4229;-0.0202;0.0330;-0.3242;0.3938;-40.5188;-30.0000;
2.061396;0.0790;0.4829;0.7273;-0.0202;0.0330;-0.3242;0.3938;-40.5188;-30.0000;
2.138895;0.0790;0.4829;0.7273;0.3046;0.3646;-0.1846;0.3938;-40.5188;-30.0000;
2.140473;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;0.3938;-40.5188;-30.0000;
2.141578;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;0.3938;-40.5188;-30.0000;
2.142280;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;0.3938;-40.5188;-30.0000;
2.143219;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;1.2188;-41.8500;-30.5813;
2.180751;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;1.2188;-41.8500;-30.5813;
2.187980;0.0146;0.2559;0.4738;0.3046;0.3646;-0.1846;0.1313;-44.2500;-29.4563;
2.221569;0.1038;0.2934;0.3037;0.3046;0.3646;-0.1846;0.1313;-44.2500;-29.4563;
2.223467;0.1038;0.2934;0.3037;0.2968;-1.1055;0.1818;0.1313;-44.2500;-29.4563;
2.240461;0.1038;0.2934;0.3037;0.2968;-1.1055;0.1818;-0.4500;-45.6938;-26.4000;
2.262193;0.1038;0.2934;0.3037;0.2968;-1.1055;0.1818;-0.4500;-45.6938;-26.4000;
2.264150;0.1038;0.2934;0.3037;0.3868;-0.2764;-0.1957;-0.4500;-45.6938;-26.4000;
2.265779;0.0498;0.5346;0.2181;0.3868;-0.2764;-0.1957;-0.4500;-45.6938;-26.4000;
2.267205;0.0498;0.5346;0.2181;0.3868;-0.2764;-0.1957;-0.4500;-45.6938;-26.4000;
2.299657;0.0498;0.5346;0.2181;0.3868;-0.2764;-0.1957;-0.4500;-45.6938;-26.4000;
2.343091;0.0624;0.7605;0.7786;0.3868;-0.2764;-0.1957;-0.4500;-45.6938;-26.4000;
2.344673;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;-0.4500;-45.6938;-26.4000;
2.345566;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;-0.4313;-47.4188;-27.5813;
2.381422;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;-0.4313;-47.4188;-27.5813;
2.382505;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;-0.4313;-47.4188;-27.5813;
2.389888;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;0.6750;-47.6063;-29.9063;
2.421767;0.0624;0.7605;0.7786;-0.5758;0.0698;-0.0343;0.6750;-47.6063;-29.9063;
2.422775;-0.2372;0.9097;1.0769;-0.5758;0.0698;-0.0343;0.6750;-47.6063;-29.9063;
2.423823;-0.2372;0.9097;1.0769;-0.7561;0.0803;-0.3203;0.6750;-47.6063;-29.9063;
2.440546;-0.2372;0.9097;1.0769;-0.7561;0.0803;-0.3203;0.4125;-48.5063;-31.3688;
2.459944;-0.2372;0.9097;1.0769;0.0366;-0.0291;0.6602;0.4125;-48.5063;-31.3688;
2.461422;0.0670;0.9792;1.6036;0.0366;-0.0291;0.6602;0.4125;-48.5063;-31.3688;
2.500612;0.0670;0.9792;1.6036;0.0366;-0.0291;0.6602;0.4125;-48.5063;-31.3688;
2.501733;0.0670;0.9792;1.6036;0.0366;-0.0291;0.6602;0.4125;-48.5063;-31.3688;
2.540223;0.0670;0.9792;1.6036;0.0366;-0.0291;0.6602;-0.0188;-48.7125;-28.3313;
2.541866;-0.0097;0.6017;1.6097;0.0366;-0.0291;0.6602;-0.0188;-48.7125;-28.3313;
2.543407;-0.0097;0.6017;1.6097;0.0982;0.6367;0.3318;-0.0188;-48.7125;-28.3313;
2.544572;-0.0097;0.6017;1.6097;0.0982;0.6367;0.3318;-0.0188;-48.7125;-28.3313;
2.589987;-0.0097;0.6017;1.6097;0.0982;0.6367;0.3318;-0.9000;-50.9250;-29.7750;
2.620736;-0.0827;0.4039;0.6344;0.0982;0.6367;0.3318;-0.9000;-50.9250;-29.7750;
2.622956;-0.0827;0.4039;0.6344;0.0982;0.6367;0.3318;-0.9000;-50.9250;-29.7750;
2.624049;-0.0827;0.4039;0.6344;0.1475;-0.3328;0.0727;-0.9000;-50.9250;-29.7750;
2.625475;-0.0827;0.4039;0.6344;0.1475;-0.3328;0.0727;-0.9000;-50.9250;-29.7750;
2.638287;-0.0827;0.4039;0.6344;0.1475;-0.3328;0.0727;-1.6875;-51.1875;-28.0313;
2.660497;-0.0827;0.4039;0.6344;0.0828;0.0802;0.2388;-1.6875;-51.1875;-28.0313;
2.662068;-0.0004;0.3128;0.3562;0.0828;0.0802;0.2388;-1.6875;-51.1875;-28.0313;
2.663304;-0.0004;0.3128;0.3562;0.0828;0.0802;0.2388;-1.6875;-51.1875;-28.0313;
2.741050;-0.0162;0.1662;0.1951;0.0828;0.0802;0.2388;-1.6875;-51.1875;-28.0313;
2.742692;-0.0162;0.1662;0.1951;0.0828;0.0802;0.2388;-0.7688;-51.3188;-25.5938;
2.743998;-0.0162;0.1662;0.1951;0.4571;1.0927;0.3662;-0.7688;-51.3188;-25.5938;
2.745136;-0.0162;0.1662;0.1951;0.4571;1.0927;0.3662;-0.7688;-51.3188;-25.5938;
2.745845;-0.0162;0.1662;0.1951;0.4571;1.0927;0.3662;-0.7688;-51.3188;-25.5938;
