
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.605216;0.0457;0.4026;0.9004;0.5947;-0.6937;-0.4109;16.2563;9.9938;-50.7375;
0.617535;0.0457;0.4026;0.9004;0.5947;-0.6937;-0.4109;16.2563;9.9938;-50.7375;
0.618873;0.0334;0.3932;0.8661;0.5947;-0.6937;-0.4109;16.2563;9.9938;-50.7375;
0.620252;0.0334;0.3932;0.8661;0.5947;-0.6937;-0.4109;16.2563;9.9938;-50.7375;
0.624078;0.0312;0.3953;0.8409;0.5947;-0.6937;-0.4109;16.2563;9.9938;-50.7375;
0.632119;0.0312;0.3953;0.8409;0.5947;-0.6937;-0.4109;13.1250;7.1250;-50.8875;
0.674396;0.0312;0.3953;0.8409;0.5947;-0.6937;-0.4109;13.1250;7.1250;-50.8875;
0.675859;0.0538;0.3790;0.9453;0.5947;-0.6937;-0.4109;13.1250;7.1250;-50.8875;
0.677165;0.1059;0.3308;1.0037;0.5947;-0.6937;-0.4109;13.1250;7.1250;-50.8875;
0.683677;0.1059;0.3308;1.0037;0.3219;-0.1790;-0.2013;13.1250;7.1250;-50.8875;
0.689875;0.1710;0.3133;0.9254;0.3219;-0.1790;-0.2013;13.1250;7.1250;-50.8875;
0.723074;0.1839;0.3195;0.8131;0.3219;-0.1790;-0.2013;13.1250;7.1250;-50.8875;
0.724736;0.1839;0.3195;0.8131;-0.2933;-0.2208;-0.3212;13.1250;7.1250;-50.8875;
0.731467;0.1190;0.3091;0.8801;-0.2933;-0.2208;-0.3212;13.1250;7.1250;-50.8875;
0.733092;0.1190;0.3091;0.8801;-0.2933;-0.2208;-0.3212;12.5438;6.5438;-51.8625;
0.734060;0.1190;0.3091;0.8801;-0.2933;-0.2208;-0.3212;12.5438;6.5438;-51.8625;
0.734851;0.1190;0.3091;0.8801;-0.2933;-0.2208;-0.3212;12.5438;6.5438;-51.8625;
0.756685;0.0273;0.3218;1.0450;-0.2933;-0.2208;-0.3212;12.5438;6.5438;-51.8625;
0.781468;0.0273;0.3218;1.0450;-0.2933;-0.2208;-0.3212;11.0438;9.7313;-50.9625;
0.783514;-0.1005;0.2903;1.3180;-0.2933;-0.2208;-0.3212;11.0438;9.7313;-50.9625;
0.794303;-0.1005;0.2903;1.3180;-0.2933;-0.2208;-0.3212;11.0438;9.7313;-50.9625;
0.795809;-0.1757;0.2567;1.5832;-0.2933;-0.2208;-0.3212;11.0438;9.7313;-50.9625;
0.803758;-0.1757;0.2567;1.5832;-1.2254;-0.1232;-0.8215;11.0438;9.7313;-50.9625;
0.823721;-0.1768;0.2468;1.5242;-1.2254;-0.1232;-0.8215;11.0438;9.7313;-50.9625;
0.825702;-0.1011;0.2562;1.3229;-1.2254;-0.1232;-0.8215;11.0438;9.7313;-50.9625;
